image_path,emotion
FER2013_images\training\0_0.png,0
FER2013_images\training\1_0.png,0
FER2013_images\training\2_2.png,2
FER2013_images\training\3_4.png,4
FER2013_images\training\4_6.png,6
FER2013_images\training\5_2.png,2
FER2013_images\training\6_4.png,4
FER2013_images\training\7_3.png,3
FER2013_images\training\8_3.png,3
FER2013_images\training\9_2.png,2
FER2013_images\training\10_0.png,0
FER2013_images\training\11_6.png,6
FER2013_images\training\12_6.png,6
FER2013_images\training\13_6.png,6
FER2013_images\training\14_3.png,3
FER2013_images\training\15_5.png,5
FER2013_images\training\16_3.png,3
FER2013_images\training\17_2.png,2
FER2013_images\training\18_6.png,6
FER2013_images\training\19_4.png,4
FER2013_images\training\20_4.png,4
FER2013_images\training\21_2.png,2
FER2013_images\training\22_0.png,0
FER2013_images\training\23_0.png,0
FER2013_images\training\24_3.png,3
FER2013_images\training\25_3.png,3
FER2013_images\training\26_5.png,5
FER2013_images\training\27_0.png,0
FER2013_images\training\28_3.png,3
FER2013_images\training\29_5.png,5
FER2013_images\training\30_3.png,3
FER2013_images\training\31_6.png,6
FER2013_images\training\32_3.png,3
FER2013_images\training\33_2.png,2
FER2013_images\training\34_3.png,3
FER2013_images\training\35_6.png,6
FER2013_images\training\36_6.png,6
FER2013_images\training\37_6.png,6
FER2013_images\training\38_0.png,0
FER2013_images\training\39_5.png,5
FER2013_images\training\40_0.png,0
FER2013_images\training\41_3.png,3
FER2013_images\training\42_4.png,4
FER2013_images\training\43_0.png,0
FER2013_images\training\44_6.png,6
FER2013_images\training\45_2.png,2
FER2013_images\training\46_3.png,3
FER2013_images\training\47_6.png,6
FER2013_images\training\48_2.png,2
FER2013_images\training\49_2.png,2
FER2013_images\training\50_2.png,2
FER2013_images\training\51_5.png,5
FER2013_images\training\52_5.png,5
FER2013_images\training\53_6.png,6
FER2013_images\training\54_4.png,4
FER2013_images\training\55_5.png,5
FER2013_images\training\56_0.png,0
FER2013_images\training\57_3.png,3
FER2013_images\training\58_4.png,4
FER2013_images\training\59_2.png,2
FER2013_images\training\60_6.png,6
FER2013_images\training\61_5.png,5
FER2013_images\training\62_3.png,3
FER2013_images\training\63_4.png,4
FER2013_images\training\64_3.png,3
FER2013_images\training\65_0.png,0
FER2013_images\training\66_4.png,4
FER2013_images\training\67_3.png,3
FER2013_images\training\68_0.png,0
FER2013_images\training\69_5.png,5
FER2013_images\training\70_4.png,4
FER2013_images\training\71_2.png,2
FER2013_images\training\72_4.png,4
FER2013_images\training\73_2.png,2
FER2013_images\training\74_0.png,0
FER2013_images\training\75_6.png,6
FER2013_images\training\76_0.png,0
FER2013_images\training\77_0.png,0
FER2013_images\training\78_5.png,5
FER2013_images\training\79_4.png,4
FER2013_images\training\80_3.png,3
FER2013_images\training\81_5.png,5
FER2013_images\training\82_3.png,3
FER2013_images\training\83_6.png,6
FER2013_images\training\84_2.png,2
FER2013_images\training\85_2.png,2
FER2013_images\training\86_4.png,4
FER2013_images\training\87_4.png,4
FER2013_images\training\88_5.png,5
FER2013_images\training\89_4.png,4
FER2013_images\training\90_0.png,0
FER2013_images\training\91_0.png,0
FER2013_images\training\92_6.png,6
FER2013_images\training\93_0.png,0
FER2013_images\training\94_6.png,6
FER2013_images\training\95_2.png,2
FER2013_images\training\96_2.png,2
FER2013_images\training\97_3.png,3
FER2013_images\training\98_4.png,4
FER2013_images\training\99_3.png,3
FER2013_images\training\100_3.png,3
FER2013_images\training\101_2.png,2
FER2013_images\training\102_6.png,6
FER2013_images\training\103_3.png,3
FER2013_images\training\104_4.png,4
FER2013_images\training\105_3.png,3
FER2013_images\training\106_2.png,2
FER2013_images\training\107_0.png,0
FER2013_images\training\108_2.png,2
FER2013_images\training\109_3.png,3
FER2013_images\training\110_2.png,2
FER2013_images\training\111_3.png,3
FER2013_images\training\112_6.png,6
FER2013_images\training\113_6.png,6
FER2013_images\training\114_3.png,3
FER2013_images\training\115_4.png,4
FER2013_images\training\116_4.png,4
FER2013_images\training\117_0.png,0
FER2013_images\training\118_3.png,3
FER2013_images\training\119_3.png,3
FER2013_images\training\120_0.png,0
FER2013_images\training\121_2.png,2
FER2013_images\training\122_0.png,0
FER2013_images\training\123_0.png,0
FER2013_images\training\124_3.png,3
FER2013_images\training\125_3.png,3
FER2013_images\training\126_0.png,0
FER2013_images\training\127_4.png,4
FER2013_images\training\128_5.png,5
FER2013_images\training\129_2.png,2
FER2013_images\training\130_4.png,4
FER2013_images\training\131_2.png,2
FER2013_images\training\132_5.png,5
FER2013_images\training\133_3.png,3
FER2013_images\training\134_0.png,0
FER2013_images\training\135_6.png,6
FER2013_images\training\136_6.png,6
FER2013_images\training\137_2.png,2
FER2013_images\training\138_2.png,2
FER2013_images\training\139_3.png,3
FER2013_images\training\140_2.png,2
FER2013_images\training\141_3.png,3
FER2013_images\training\142_3.png,3
FER2013_images\training\143_3.png,3
FER2013_images\training\144_3.png,3
FER2013_images\training\145_3.png,3
FER2013_images\training\146_4.png,4
FER2013_images\training\147_2.png,2
FER2013_images\training\148_2.png,2
FER2013_images\training\149_0.png,0
FER2013_images\training\150_0.png,0
FER2013_images\training\151_2.png,2
FER2013_images\training\152_6.png,6
FER2013_images\training\153_3.png,3
FER2013_images\training\154_4.png,4
FER2013_images\training\155_5.png,5
FER2013_images\training\156_3.png,3
FER2013_images\training\157_0.png,0
FER2013_images\training\158_2.png,2
FER2013_images\training\159_4.png,4
FER2013_images\training\160_5.png,5
FER2013_images\training\161_2.png,2
FER2013_images\training\162_3.png,3
FER2013_images\training\163_4.png,4
FER2013_images\training\164_6.png,6
FER2013_images\training\165_3.png,3
FER2013_images\training\166_4.png,4
FER2013_images\training\167_3.png,3
FER2013_images\training\168_6.png,6
FER2013_images\training\169_0.png,0
FER2013_images\training\170_4.png,4
FER2013_images\training\171_4.png,4
FER2013_images\training\172_4.png,4
FER2013_images\training\173_2.png,2
FER2013_images\training\174_6.png,6
FER2013_images\training\175_5.png,5
FER2013_images\training\176_5.png,5
FER2013_images\training\177_6.png,6
FER2013_images\training\178_5.png,5
FER2013_images\training\179_2.png,2
FER2013_images\training\180_3.png,3
FER2013_images\training\181_2.png,2
FER2013_images\training\182_3.png,3
FER2013_images\training\183_4.png,4
FER2013_images\training\184_0.png,0
FER2013_images\training\185_2.png,2
FER2013_images\training\186_0.png,0
FER2013_images\training\187_3.png,3
FER2013_images\training\188_0.png,0
FER2013_images\training\189_2.png,2
FER2013_images\training\190_2.png,2
FER2013_images\training\191_5.png,5
FER2013_images\training\192_3.png,3
FER2013_images\training\193_5.png,5
FER2013_images\training\194_5.png,5
FER2013_images\training\195_4.png,4
FER2013_images\training\196_3.png,3
FER2013_images\training\197_0.png,0
FER2013_images\training\198_6.png,6
FER2013_images\training\199_5.png,5
FER2013_images\training\200_2.png,2
FER2013_images\training\201_6.png,6
FER2013_images\training\202_0.png,0
FER2013_images\training\203_0.png,0
FER2013_images\training\204_4.png,4
FER2013_images\training\205_5.png,5
FER2013_images\training\206_6.png,6
FER2013_images\training\207_3.png,3
FER2013_images\training\208_5.png,5
FER2013_images\training\209_5.png,5
FER2013_images\training\210_3.png,3
FER2013_images\training\211_2.png,2
FER2013_images\training\212_2.png,2
FER2013_images\training\213_3.png,3
FER2013_images\training\214_3.png,3
FER2013_images\training\215_3.png,3
FER2013_images\training\216_3.png,3
FER2013_images\training\217_6.png,6
FER2013_images\training\218_3.png,3
FER2013_images\training\219_6.png,6
FER2013_images\training\220_3.png,3
FER2013_images\training\221_0.png,0
FER2013_images\training\222_6.png,6
FER2013_images\training\223_3.png,3
FER2013_images\training\224_2.png,2
FER2013_images\training\225_0.png,0
FER2013_images\training\226_6.png,6
FER2013_images\training\227_5.png,5
FER2013_images\training\228_6.png,6
FER2013_images\training\229_0.png,0
FER2013_images\training\230_5.png,5
FER2013_images\training\231_4.png,4
FER2013_images\training\232_3.png,3
FER2013_images\training\233_0.png,0
FER2013_images\training\234_3.png,3
FER2013_images\training\235_0.png,0
FER2013_images\training\236_4.png,4
FER2013_images\training\237_5.png,5
FER2013_images\training\238_4.png,4
FER2013_images\training\239_3.png,3
FER2013_images\training\240_3.png,3
FER2013_images\training\241_0.png,0
FER2013_images\training\242_0.png,0
FER2013_images\training\243_6.png,6
FER2013_images\training\244_2.png,2
FER2013_images\training\245_0.png,0
FER2013_images\training\246_6.png,6
FER2013_images\training\247_3.png,3
FER2013_images\training\248_0.png,0
FER2013_images\training\249_0.png,0
FER2013_images\training\250_6.png,6
FER2013_images\training\251_0.png,0
FER2013_images\training\252_5.png,5
FER2013_images\training\253_6.png,6
FER2013_images\training\254_3.png,3
FER2013_images\training\255_2.png,2
FER2013_images\training\256_5.png,5
FER2013_images\training\257_5.png,5
FER2013_images\training\258_2.png,2
FER2013_images\training\259_0.png,0
FER2013_images\training\260_2.png,2
FER2013_images\training\261_6.png,6
FER2013_images\training\262_6.png,6
FER2013_images\training\263_0.png,0
FER2013_images\training\264_2.png,2
FER2013_images\training\265_3.png,3
FER2013_images\training\266_4.png,4
FER2013_images\training\267_2.png,2
FER2013_images\training\268_6.png,6
FER2013_images\training\269_5.png,5
FER2013_images\training\270_2.png,2
FER2013_images\training\271_2.png,2
FER2013_images\training\272_6.png,6
FER2013_images\training\273_6.png,6
FER2013_images\training\274_6.png,6
FER2013_images\training\275_2.png,2
FER2013_images\training\276_5.png,5
FER2013_images\training\277_3.png,3
FER2013_images\training\278_0.png,0
FER2013_images\training\279_5.png,5
FER2013_images\training\280_0.png,0
FER2013_images\training\281_4.png,4
FER2013_images\training\282_3.png,3
FER2013_images\training\283_3.png,3
FER2013_images\training\284_3.png,3
FER2013_images\training\285_3.png,3
FER2013_images\training\286_6.png,6
FER2013_images\training\287_3.png,3
FER2013_images\training\288_2.png,2
FER2013_images\training\289_4.png,4
FER2013_images\training\290_6.png,6
FER2013_images\training\291_3.png,3
FER2013_images\training\292_2.png,2
FER2013_images\training\293_4.png,4
FER2013_images\training\294_0.png,0
FER2013_images\training\295_0.png,0
FER2013_images\training\296_3.png,3
FER2013_images\training\297_2.png,2
FER2013_images\training\298_0.png,0
FER2013_images\training\299_1.png,1
FER2013_images\training\300_2.png,2
FER2013_images\training\301_2.png,2
FER2013_images\training\302_5.png,5
FER2013_images\training\303_3.png,3
FER2013_images\training\304_5.png,5
FER2013_images\training\305_4.png,4
FER2013_images\training\306_4.png,4
FER2013_images\training\307_0.png,0
FER2013_images\training\308_2.png,2
FER2013_images\training\309_3.png,3
FER2013_images\training\310_4.png,4
FER2013_images\training\311_6.png,6
FER2013_images\training\312_4.png,4
FER2013_images\training\313_2.png,2
FER2013_images\training\314_2.png,2
FER2013_images\training\315_3.png,3
FER2013_images\training\316_5.png,5
FER2013_images\training\317_4.png,4
FER2013_images\training\318_4.png,4
FER2013_images\training\319_5.png,5
FER2013_images\training\320_6.png,6
FER2013_images\training\321_4.png,4
FER2013_images\training\322_5.png,5
FER2013_images\training\323_0.png,0
FER2013_images\training\324_3.png,3
FER2013_images\training\325_3.png,3
FER2013_images\training\326_3.png,3
FER2013_images\training\327_2.png,2
FER2013_images\training\328_5.png,5
FER2013_images\training\329_5.png,5
FER2013_images\training\330_5.png,5
FER2013_images\training\331_3.png,3
FER2013_images\training\332_5.png,5
FER2013_images\training\333_3.png,3
FER2013_images\training\334_3.png,3
FER2013_images\training\335_3.png,3
FER2013_images\training\336_5.png,5
FER2013_images\training\337_6.png,6
FER2013_images\training\338_0.png,0
FER2013_images\training\339_4.png,4
FER2013_images\training\340_2.png,2
FER2013_images\training\341_2.png,2
FER2013_images\training\342_0.png,0
FER2013_images\training\343_4.png,4
FER2013_images\training\344_5.png,5
FER2013_images\training\345_5.png,5
FER2013_images\training\346_6.png,6
FER2013_images\training\347_6.png,6
FER2013_images\training\348_3.png,3
FER2013_images\training\349_2.png,2
FER2013_images\training\350_4.png,4
FER2013_images\training\351_2.png,2
FER2013_images\training\352_4.png,4
FER2013_images\training\353_0.png,0
FER2013_images\training\354_5.png,5
FER2013_images\training\355_0.png,0
FER2013_images\training\356_3.png,3
FER2013_images\training\357_5.png,5
FER2013_images\training\358_2.png,2
FER2013_images\training\359_4.png,4
FER2013_images\training\360_0.png,0
FER2013_images\training\361_4.png,4
FER2013_images\training\362_5.png,5
FER2013_images\training\363_6.png,6
FER2013_images\training\364_3.png,3
FER2013_images\training\365_2.png,2
FER2013_images\training\366_3.png,3
FER2013_images\training\367_5.png,5
FER2013_images\training\368_0.png,0
FER2013_images\training\369_0.png,0
FER2013_images\training\370_3.png,3
FER2013_images\training\371_3.png,3
FER2013_images\training\372_2.png,2
FER2013_images\training\373_6.png,6
FER2013_images\training\374_0.png,0
FER2013_images\training\375_2.png,2
FER2013_images\training\376_6.png,6
FER2013_images\training\377_0.png,0
FER2013_images\training\378_3.png,3
FER2013_images\training\379_2.png,2
FER2013_images\training\380_3.png,3
FER2013_images\training\381_2.png,2
FER2013_images\training\382_6.png,6
FER2013_images\training\383_4.png,4
FER2013_images\training\384_3.png,3
FER2013_images\training\385_4.png,4
FER2013_images\training\386_4.png,4
FER2013_images\training\387_0.png,0
FER2013_images\training\388_1.png,1
FER2013_images\training\389_2.png,2
FER2013_images\training\390_4.png,4
FER2013_images\training\391_6.png,6
FER2013_images\training\392_5.png,5
FER2013_images\training\393_0.png,0
FER2013_images\training\394_4.png,4
FER2013_images\training\395_6.png,6
FER2013_images\training\396_6.png,6
FER2013_images\training\397_6.png,6
FER2013_images\training\398_2.png,2
FER2013_images\training\399_6.png,6
FER2013_images\training\400_4.png,4
FER2013_images\training\401_3.png,3
FER2013_images\training\402_2.png,2
FER2013_images\training\403_4.png,4
FER2013_images\training\404_0.png,0
FER2013_images\training\405_6.png,6
FER2013_images\training\406_3.png,3
FER2013_images\training\407_2.png,2
FER2013_images\training\408_3.png,3
FER2013_images\training\409_0.png,0
FER2013_images\training\410_6.png,6
FER2013_images\training\411_5.png,5
FER2013_images\training\412_0.png,0
FER2013_images\training\413_5.png,5
FER2013_images\training\414_2.png,2
FER2013_images\training\415_6.png,6
FER2013_images\training\416_1.png,1
FER2013_images\training\417_3.png,3
FER2013_images\training\418_2.png,2
FER2013_images\training\419_6.png,6
FER2013_images\training\420_2.png,2
FER2013_images\training\421_0.png,0
FER2013_images\training\422_4.png,4
FER2013_images\training\423_6.png,6
FER2013_images\training\424_4.png,4
FER2013_images\training\425_5.png,5
FER2013_images\training\426_4.png,4
FER2013_images\training\427_4.png,4
FER2013_images\training\428_2.png,2
FER2013_images\training\429_0.png,0
FER2013_images\training\430_4.png,4
FER2013_images\training\431_0.png,0
FER2013_images\training\432_2.png,2
FER2013_images\training\433_0.png,0
FER2013_images\training\434_0.png,0
FER2013_images\training\435_5.png,5
FER2013_images\training\436_3.png,3
FER2013_images\training\437_3.png,3
FER2013_images\training\438_5.png,5
FER2013_images\training\439_3.png,3
FER2013_images\training\440_3.png,3
FER2013_images\training\441_4.png,4
FER2013_images\training\442_6.png,6
FER2013_images\training\443_5.png,5
FER2013_images\training\444_3.png,3
FER2013_images\training\445_3.png,3
FER2013_images\training\446_3.png,3
FER2013_images\training\447_4.png,4
FER2013_images\training\448_4.png,4
FER2013_images\training\449_6.png,6
FER2013_images\training\450_3.png,3
FER2013_images\training\451_4.png,4
FER2013_images\training\452_2.png,2
FER2013_images\training\453_3.png,3
FER2013_images\training\454_2.png,2
FER2013_images\training\455_2.png,2
FER2013_images\training\456_3.png,3
FER2013_images\training\457_4.png,4
FER2013_images\training\458_3.png,3
FER2013_images\training\459_6.png,6
FER2013_images\training\460_2.png,2
FER2013_images\training\461_6.png,6
FER2013_images\training\462_4.png,4
FER2013_images\training\463_3.png,3
FER2013_images\training\464_0.png,0
FER2013_images\training\465_3.png,3
FER2013_images\training\466_4.png,4
FER2013_images\training\467_6.png,6
FER2013_images\training\468_6.png,6
FER2013_images\training\469_0.png,0
FER2013_images\training\470_0.png,0
FER2013_images\training\471_5.png,5
FER2013_images\training\472_3.png,3
FER2013_images\training\473_1.png,1
FER2013_images\training\474_2.png,2
FER2013_images\training\475_4.png,4
FER2013_images\training\476_2.png,2
FER2013_images\training\477_2.png,2
FER2013_images\training\478_3.png,3
FER2013_images\training\479_2.png,2
FER2013_images\training\480_5.png,5
FER2013_images\training\481_0.png,0
FER2013_images\training\482_6.png,6
FER2013_images\training\483_2.png,2
FER2013_images\training\484_4.png,4
FER2013_images\training\485_3.png,3
FER2013_images\training\486_2.png,2
FER2013_images\training\487_3.png,3
FER2013_images\training\488_5.png,5
FER2013_images\training\489_0.png,0
FER2013_images\training\490_6.png,6
FER2013_images\training\491_6.png,6
FER2013_images\training\492_5.png,5
FER2013_images\training\493_6.png,6
FER2013_images\training\494_5.png,5
FER2013_images\training\495_3.png,3
FER2013_images\training\496_0.png,0
FER2013_images\training\497_5.png,5
FER2013_images\training\498_6.png,6
FER2013_images\training\499_0.png,0
FER2013_images\training\500_2.png,2
FER2013_images\training\501_6.png,6
FER2013_images\training\502_6.png,6
FER2013_images\training\503_6.png,6
FER2013_images\training\504_2.png,2
FER2013_images\training\505_4.png,4
FER2013_images\training\506_6.png,6
FER2013_images\training\507_2.png,2
FER2013_images\training\508_6.png,6
FER2013_images\training\509_0.png,0
FER2013_images\training\510_5.png,5
FER2013_images\training\511_3.png,3
FER2013_images\training\512_3.png,3
FER2013_images\training\513_4.png,4
FER2013_images\training\514_4.png,4
FER2013_images\training\515_0.png,0
FER2013_images\training\516_0.png,0
FER2013_images\training\517_2.png,2
FER2013_images\training\518_5.png,5
FER2013_images\training\519_0.png,0
FER2013_images\training\520_6.png,6
FER2013_images\training\521_0.png,0
FER2013_images\training\522_6.png,6
FER2013_images\training\523_5.png,5
FER2013_images\training\524_4.png,4
FER2013_images\training\525_0.png,0
FER2013_images\training\526_0.png,0
FER2013_images\training\527_3.png,3
FER2013_images\training\528_5.png,5
FER2013_images\training\529_5.png,5
FER2013_images\training\530_4.png,4
FER2013_images\training\531_3.png,3
FER2013_images\training\532_3.png,3
FER2013_images\training\533_1.png,1
FER2013_images\training\534_4.png,4
FER2013_images\training\535_6.png,6
FER2013_images\training\536_6.png,6
FER2013_images\training\537_3.png,3
FER2013_images\training\538_2.png,2
FER2013_images\training\539_3.png,3
FER2013_images\training\540_3.png,3
FER2013_images\training\541_6.png,6
FER2013_images\training\542_6.png,6
FER2013_images\training\543_4.png,4
FER2013_images\training\544_6.png,6
FER2013_images\training\545_0.png,0
FER2013_images\training\546_2.png,2
FER2013_images\training\547_6.png,6
FER2013_images\training\548_5.png,5
FER2013_images\training\549_4.png,4
FER2013_images\training\550_2.png,2
FER2013_images\training\551_6.png,6
FER2013_images\training\552_6.png,6
FER2013_images\training\553_3.png,3
FER2013_images\training\554_5.png,5
FER2013_images\training\555_6.png,6
FER2013_images\training\556_4.png,4
FER2013_images\training\557_6.png,6
FER2013_images\training\558_0.png,0
FER2013_images\training\559_4.png,4
FER2013_images\training\560_2.png,2
FER2013_images\training\561_3.png,3
FER2013_images\training\562_3.png,3
FER2013_images\training\563_0.png,0
FER2013_images\training\564_0.png,0
FER2013_images\training\565_6.png,6
FER2013_images\training\566_2.png,2
FER2013_images\training\567_6.png,6
FER2013_images\training\568_3.png,3
FER2013_images\training\569_3.png,3
FER2013_images\training\570_6.png,6
FER2013_images\training\571_5.png,5
FER2013_images\training\572_3.png,3
FER2013_images\training\573_1.png,1
FER2013_images\training\574_3.png,3
FER2013_images\training\575_2.png,2
FER2013_images\training\576_2.png,2
FER2013_images\training\577_4.png,4
FER2013_images\training\578_2.png,2
FER2013_images\training\579_2.png,2
FER2013_images\training\580_4.png,4
FER2013_images\training\581_0.png,0
FER2013_images\training\582_3.png,3
FER2013_images\training\583_5.png,5
FER2013_images\training\584_6.png,6
FER2013_images\training\585_3.png,3
FER2013_images\training\586_3.png,3
FER2013_images\training\587_2.png,2
FER2013_images\training\588_3.png,3
FER2013_images\training\589_0.png,0
FER2013_images\training\590_4.png,4
FER2013_images\training\591_2.png,2
FER2013_images\training\592_6.png,6
FER2013_images\training\593_2.png,2
FER2013_images\training\594_3.png,3
FER2013_images\training\595_5.png,5
FER2013_images\training\596_6.png,6
FER2013_images\training\597_2.png,2
FER2013_images\training\598_4.png,4
FER2013_images\training\599_2.png,2
FER2013_images\training\600_2.png,2
FER2013_images\training\601_6.png,6
FER2013_images\training\602_6.png,6
FER2013_images\training\603_4.png,4
FER2013_images\training\604_6.png,6
FER2013_images\training\605_6.png,6
FER2013_images\training\606_3.png,3
FER2013_images\training\607_4.png,4
FER2013_images\training\608_0.png,0
FER2013_images\training\609_3.png,3
FER2013_images\training\610_4.png,4
FER2013_images\training\611_4.png,4
FER2013_images\training\612_0.png,0
FER2013_images\training\613_3.png,3
FER2013_images\training\614_4.png,4
FER2013_images\training\615_6.png,6
FER2013_images\training\616_4.png,4
FER2013_images\training\617_0.png,0
FER2013_images\training\618_4.png,4
FER2013_images\training\619_6.png,6
FER2013_images\training\620_3.png,3
FER2013_images\training\621_5.png,5
FER2013_images\training\622_2.png,2
FER2013_images\training\623_3.png,3
FER2013_images\training\624_0.png,0
FER2013_images\training\625_0.png,0
FER2013_images\training\626_3.png,3
FER2013_images\training\627_6.png,6
FER2013_images\training\628_3.png,3
FER2013_images\training\629_3.png,3
FER2013_images\training\630_6.png,6
FER2013_images\training\631_4.png,4
FER2013_images\training\632_5.png,5
FER2013_images\training\633_0.png,0
FER2013_images\training\634_2.png,2
FER2013_images\training\635_3.png,3
FER2013_images\training\636_0.png,0
FER2013_images\training\637_3.png,3
FER2013_images\training\638_5.png,5
FER2013_images\training\639_3.png,3
FER2013_images\training\640_4.png,4
FER2013_images\training\641_3.png,3
FER2013_images\training\642_4.png,4
FER2013_images\training\643_6.png,6
FER2013_images\training\644_6.png,6
FER2013_images\training\645_3.png,3
FER2013_images\training\646_4.png,4
FER2013_images\training\647_5.png,5
FER2013_images\training\648_3.png,3
FER2013_images\training\649_6.png,6
FER2013_images\training\650_4.png,4
FER2013_images\training\651_6.png,6
FER2013_images\training\652_5.png,5
FER2013_images\training\653_3.png,3
FER2013_images\training\654_0.png,0
FER2013_images\training\655_3.png,3
FER2013_images\training\656_2.png,2
FER2013_images\training\657_3.png,3
FER2013_images\training\658_3.png,3
FER2013_images\training\659_3.png,3
FER2013_images\training\660_5.png,5
FER2013_images\training\661_5.png,5
FER2013_images\training\662_6.png,6
FER2013_images\training\663_2.png,2
FER2013_images\training\664_3.png,3
FER2013_images\training\665_0.png,0
FER2013_images\training\666_3.png,3
FER2013_images\training\667_3.png,3
FER2013_images\training\668_3.png,3
FER2013_images\training\669_2.png,2
FER2013_images\training\670_5.png,5
FER2013_images\training\671_0.png,0
FER2013_images\training\672_6.png,6
FER2013_images\training\673_6.png,6
FER2013_images\training\674_3.png,3
FER2013_images\training\675_5.png,5
FER2013_images\training\676_0.png,0
FER2013_images\training\677_0.png,0
FER2013_images\training\678_3.png,3
FER2013_images\training\679_6.png,6
FER2013_images\training\680_4.png,4
FER2013_images\training\681_3.png,3
FER2013_images\training\682_3.png,3
FER2013_images\training\683_5.png,5
FER2013_images\training\684_3.png,3
FER2013_images\training\685_3.png,3
FER2013_images\training\686_5.png,5
FER2013_images\training\687_3.png,3
FER2013_images\training\688_4.png,4
FER2013_images\training\689_2.png,2
FER2013_images\training\690_3.png,3
FER2013_images\training\691_3.png,3
FER2013_images\training\692_5.png,5
FER2013_images\training\693_3.png,3
FER2013_images\training\694_6.png,6
FER2013_images\training\695_5.png,5
FER2013_images\training\696_4.png,4
FER2013_images\training\697_4.png,4
FER2013_images\training\698_5.png,5
FER2013_images\training\699_6.png,6
FER2013_images\training\700_0.png,0
FER2013_images\training\701_2.png,2
FER2013_images\training\702_2.png,2
FER2013_images\training\703_4.png,4
FER2013_images\training\704_0.png,0
FER2013_images\training\705_6.png,6
FER2013_images\training\706_3.png,3
